"English","Welsh"
"An application should not be listed before the Interim Applications Judge unless the overall time required to deal with the application is 2 hours or less. The 2 hour maximum includes the judge's pre-reading time, the hearing of the application, delivery of judgment and time for dealing with costs. If the judge considers that the estimate will exceed the 2 hour limit it may be stood out of the interim applications list.","Ni ddylid rhestru cais gerbron y Barnwr Ceisiadau Interim oni bai bod yr amser cyffredinol sydd ei angen i ddelio 'r cais yn 2 awr neu lai. Mae'r uchafswm o 2 awr yn cynnwys amser darllen ymlaen llaw y barnwr, gwrando'r cais, cyflwyno'r dyfarniad ac amser ar gyfer delio â chostau. Os yw'r barnwr o'r farn y bydd yr amcangyfrif yn fwy na'r terfyn 2 awr, gellir ei dynnu o'r rhestr ceisiadau interim."
"The Patents Court Guide was reissued on 7 July 2008 and revised on 24 February 2010. Note that links are provided from the guide to various intellectual property sites. If you have any enquiries or useful information you would like displayed please contact Pauline Drewett by email at pauline.drewett@justice.gov.uk.","Ailgyhoeddwyd y ""Canllaw Llys Patentau"" ar 7 Gorffennaf 2008 a'i ddiwygio ar 24 Chwefror 2010. Sylwch fod dolenni yn cael eu darparu o'r canllaw i wahanol wefannau eiddo deallusol. Os oes gennych unrhyw ymholiadau neu wybodaeth ddefnyddiol yr hoffech gael ei arddangos, cysylltwch â Pauline Drewett drwy e-bost yn pauline.drewett@justice.gov.uk."
"For all Administrative Courts","Ar gyfer pob Llys Gweinyddol"
"Judgments","Dyfarniadau"
"Live Streaming of hearings at the Royal Courts of Justice","Ffrydio gwrandawiadau yn y Llysoedd Barn Brenhinol"
"The present arrangements will be kept under review","Bydd y trefniadau presennol yn cael eu hadolygu"
"Handing down of judgments","Traddodi dyfarniadau"
"Court of Protection (Royal Courts of Justice)","Llys Gwarchod (Llysoedd Barn Brenhinol)"
"Remote hearings before a Judge","Gwrandawiadau o bell gerbron Barnwr"
"Bundles","Bwndeli"
"In-Person hearings","Gwrandawiadau wyneb yn wyneb"
"Press and Public Access","Mynediad i'r wasg a'r cyhoedd"
"Daily hearings in the Administrative Court sitting at London, Birmingham, Bristol, Cardiff, Manchester and Leeds.","Gwrandawiadau dyddiol yn y Llys Gweinyddol yn eistedd yn Llundain, Birmingham, Bryste, Caerdydd, Manceinion a Leeds."
"Hearings take place in public unless otherwise indicated. When considering the use of telephone and video technology the judiciary will have regard to the principles of open justice. The court may exclude observers where necessary to secure the proper administration of justice.","Mae gwrandawiadau'n cael eu cynnal yn gyhoeddus oni nodir yn wahanol. Wrth ystyried y defnydd o dechnoleg ff'n a fideo, bydd y farnwriaeth yn ystyried egwyddorion cyfiawnder agored. Gall y llys eithrio arsylwyr lle bo angen sicrhau gweinyddiaeth briodol cyfiawnder."
"Judgments handed down by the judge remotely will be released by circulation to the parties representatives by email and release to the National Archives. The date and time for hand-down will be deemed to be not before time listed. A copy of the judgment in final form as handed down can be made available after that time, on request by email.","Bydd dyfarniadau a draddodir gan y barnwr o bell yn cael eu rhyddhau trwy gylchrediad i gynrychiolwyr y part'on trwy e-bost a'u rhyddhau i'r Archifau Cenedlaethol. Ystyrir na fydd y dyddiad a'r amser ar gyfer traddodi yn digwydd cyn yr amser a restrwyd. Gellir darparu copi o'r dyfarniad ar ffurf derfynol fel y'i traddodwyd ar 'l yr amser hwnnw, ar gais drwy e-bost."
"A hearing before the Administrative Court in Manchester is a public hearing unless otherwise specified. If any person or representative of the media wishes to attend a remote hearing they should contact the listing office in good time before the scheduled hearing, either by emailing manchester@administrativecourtoffice.justice.gov.uk or by calling 0161 240 5313.","Mae gwrandawiad gerbron y Llys Gweinyddol ym Manceinion yn wrandawiad cyhoeddus oni nodir fel arall. Os yw unrhyw unigolyn neu gynrychiolydd o'r cyfryngau yn dymuno mynychu gwrandawiad o bell, dylent gysylltu 'r swyddfa restru mewn da bryd cyn y gwrandawiad, naill ai drwy anfon e-bost at manchester@administrativecourtoffice.justice.gov.uk neu drwy ffonio 0161 240 5313."
"A hearing before the Administrative Court in Leeds is a public hearing unless otherwise specified. If any person or representative of the media wishes to attend a remote hearing they should contact the listing office in good time before the scheduled hearing at leeds@administrativecourtoffice.justice.gov.uk.","Mae gwrandawiad gerbron y Llys Gweinyddol yn Leeds yn wrandawiad cyhoeddus oni nodir fel arall. Os yw unrhyw unigolyn neu gynrychiolydd o'r cyfryngau yn dymuno mynychu gwrandawiad o bell, dylent gysylltu 'r swyddfa restru mewn da bryd cyn y gwrandawiad yn leeds@administrativecourtoffice.justice.gov.uk."
"If you have any other listing enquiries please contact the Administrative Court at Leeds by telephone on 0113 306 2578 or alternatively on the email address above","Os oes gennych unrhyw ymholiadau rhestru eraill, cysylltwch 'r Llys Gweinyddol yn Leeds dros y ff'n ar 0113 306 2578 neu fel arall yn y cyfeiriad e-bost uchod."
"Due to judicial availability cases may be moved between County Court at Central London and Mayors & City of London Court","Oherwydd argaeledd barnwrol gellir symud achosion rhwng y Llys Sirol yng Nghanol Llundain a Llys Maer a Dinas Llundain."
"Requests from the media and others, including legal bloggers, should be made to Civil Court at the Royal Courts of Justice at mediaenquiries.civilcourtsatthercj@justice.gov.uk. Arrangements will then be made for you to attend.","Dylid gwneud ceisiadau gan y cyfryngau ac eraill, gan gynnwys blogwyr cyfreithiol, i'r Llys Sifil yn y Llysoedd Barn Brenhinol yn mediaenquiries.civilcourtsatthercj@justice.gov.uk. Yna gwneir trefniadau i chi fynychu."
"When considering the use of telephone and video technology the judiciary will have regard to the principles of open justice.","Wrth ystyried y defnydd o dechnoleg ff'n a fideo, bydd y farnwriaeth yn ystyried egwyddorion cyfiawnder agored."
"The court may exclude observers where necessary to secure the proper administration of justice.","Gall y llys eithrio arsylwyr lle bo angen i sicrhau gweinyddiaeth briodol cyfiawnder"
"Please note that advocates, whether appearing remotely or in person, are required to be robed for all hearings as from 1 October 2020. If you are an interested party or the media and wish to attend any of the Criminal Appeal Courts, please contact courtclerks@criminalappealoffice.justice.gov.uk","Sylwch fod yn ofynnol i eiriolwyr, p'un a ydynt yn ymddangos o bell neu wyneb yn wyneb, wisgo gynau ym mhob gwrandawiad o 1 Hydref 2020 ymlaen. Os ydych chi'n barti â budd neu'n aelod o'r cyfryngau ac yn dymuno mynychu unrhyw un o'r Llysoedd Ap'l Troseddol, cysylltwch â courtclerks@criminalappealoffice.justice.gov.uk"
"For further information about our hearings see this quick guide.","Am ragor o wybodaeth am ein gwrandawiadau gweler y canllaw cyflym hwn."
"Most cases in the Court of Appeal (Civil Division) are now live streamed. More information about hearings to be live streamed can be found at the Court of Appeal (Civil Division) Live Stream site. https://www.judiciary.uk/the-court-of-appeal-civil-division-live-streaming-of-court-hearings/","Mae'r rhan fwyaf o achosion yn y Llys Ap'l (Adran Sifil) bellach yn cael eu ffrydio'n fyw. Mae rhagor o wybodaeth am wrandawiadau i'w ffrydio'n fyw ar gael yn Llys Ap'l (Adran Sifil) Ffrwd byw. https://www.judiciary.uk/the-court-of-appeal-civil-division-live-streaming-of-court-hearings/"
"To view a live stream click on the case title in Court of Appeal (Civil Division) Live Stream site (https://www.judiciary.uk/the-court-of-appeal-civil-division-live-streaming-of-court-hearings/) There is no requirement to ask for permission from the Court.","I weld ffrwd byw cliciwch ar deitl yr achos yn Llys Ap'l (Adran Sifil) Ffrwd byw (https://www.judiciary.uk/the-court-of-appeal-civil-division-live-streaming-of-court-hearings/) Nid oes angen gofyn am ganiat'd gan y Llys."
"Most reserved judgments are handed down remotely, by circulation to the parties or their representatives by email and publication on the National Archives Site but sometimes they will be handed down in Court. In either case, advance notice will be published in the cause list.","Mae'r rhan fwyaf o ddyfarniadau a gedwir yn 'l yn cael eu cyflwyno o bell, trwy gylchrediad i'r part'on neu eu cynrychiolwyr trwy e-bost a'u cyhoeddi ar Wefan yr Archifau Cenedlaethol ond weithiau byddant yn cael eu traddodi yn y Llys. Yn y naill achos neu'r llall, bydd hysbysiad ymlaen llaw yn cael ei gyhoeddi yn y rhestr achosion."
"Any application made after 1 March 2022 will be listed as an in person hearing unless an application for it to be heard remotely has been made prior to the hearing and granted by a judge. All other hearings will be listed in accordance with the direction of the judge at the previous hearing.","Bydd unrhyw gais a wneir ar 'l 1 Mawrth 2022 yn cael ei restru fel gwrandawiad wyneb yn wyneb oni bai bod cais i'w wrando o bell wedi'i wneud cyn y gwrandawiad a'i ganiat'u gan farnwr. Bydd pob gwrandawiad arall yn cael ei restru yn unol â chyfarwyddyd y barnwr yn y gwrandawiad blaenorol."
"Accredited members of the press, legal bloggers or members of the public who wish to attend remote hearing should email their request to rcj.familyhighcourt@justice.gov.uk who will forward your email details to the Associates Team. Please can requests be emailed the day before the hearing or, if possible, no later than 9.30 am on the day of the hearing.","Dylai aelodau achrededig o'r wasg, blogwyr cyfreithiol neu aelodau o'r cyhoedd sy'n dymuno mynychu gwrandawiad o bell anfon eu cais trwy e-bost i rcj.familyhighcourt@justice.gov.uk a fydd yn anfon eich manylion e-bost at D'm Cydymaith y Llys. Gellir anfon ceisiadau drwy e-bost y diwrnod cyn y gwrandawiad neu, os yn bosibl, heb fod yn hwyrach na 9.30am ar ddiwrnod y gwrandawiad."
"Unlisted applications may only be made to the Applications Court if they are urgent, and the urgency arises from some very recent development or circumstance. An application must not be made to the Applications Court simply because it is not on notice to the other party or parties, unless it is urgent as defined above. All other applications, whether on notice or not, must first be issued, with a proper time estimate, and listed on a date given by the Clerk of the Rules.","Dim ond os ydynt yn geisiadau brys y gellir gwneud ceisiadau heb eu rhestru i'r Llys Ceisiadau, ac mae'r brys yn deillio o ryw ddatblygiad neu amgylchiadau diweddar iawn. Ni ddylid gwneud cais i'r Llys Ceisiadau gan nad yw ar rybudd i'r parti neu'r part'on arall, oni bai ei fod yn gais brys fel y'i diffinnir uchod. Rhaid cyhoeddi pob cais arall, boed ar rybudd neu beidio, yn gyntaf, gydag amcangyfrif amser priodol, a'i restru ar ddyddiad a roddir gan Glerc y Rheolau."
"Except in circumstances of extreme urgency, applications must be made at 10.30am and not at any later time.","Ac eithrio mewn amgylchiadau o frys eithafol, rhaid gwneud ceisiadau am 10.30am ac nid ar unrhyw adeg ddiweddarach."
"No application may be made to the High Court Applications Court which is capable of being made to a lower tier of judge. If your application requires the services of the Tipstaff you must telephone the Tipstaff on 020 7947 6200 prior to entering court or making your application. Your matter will not be heard until you have spoken to the Tipstaff.","Ni chaniateir gwneud unrhyw gais i Lys Ceisiadau'r Uchel Lys y gellir ei wneud i farnwr haen is. Os oes arnoch angen gwasanaethau Tipstaff yng nghyswllt eich cais, rhaid i chi ffonio'r Tipstaff ar 020 7947 6200 cyn mynd i mewn i'r llys neu wneud eich cais. Ni fydd eich mater yn cael ei wrando nes i chi siarad 'r Tipstaff."
"Judgments will be handed down remotely by circulation to the parties or their representatives by email and released to the National Archives. A copy of the judgment in final form as handed down should be available on the National Archives website shortly thereafter.","Bydd dyfarniadau yn cael eu cyflwyno o bell trwy gylchrediad i'r part'on neu eu cynrychiolwyr trwy e-bost a'u rhyddhau i'r Archifau Cenedlaethol. Dylai copi o'r dyfarniad ar ffurf derfynol fel y'i traddodwyd fod ar gael ar wefan yr Archifau Cenedlaethol yn fuan wedyn."
"In-person hearings â Any bundles to be filed must be provided in hard-copy at least 3 days before the hearing. These may be brought to room WG07 for delivery.","Gwrandawiadau wyneb yn wyneb â Rhaid darparu unrhyw fwndeli i'w ffeilio ar ffurf copi caled o leiaf 3 diwrnod cyn y gwrandawiad. Gellir dod 'r rhain i ystafell WG07 i'w dosbarthu."
"Any media representative (or any other member of the public) wishing to attend a remote hearing should provide an email address and contact number to be sent an appropriate link for access. Please contact the assigned Masters clerk putting the hearing date and time in the subject box. The clerk's details can be found in Annex 2 of the King's Bench Division Guide.","Dylai unrhyw gynrychiolydd y cyfryngau (neu unrhyw aelod arall o'r cyhoedd) sy'n dymuno mynychu gwrandawiad o bell ddarparu cyfeiriad e-bost a rhif cyswllt i gael dolen briodol ar gyfer cael mynediad. Cysylltwch â Chlerc Meistri penodedig gan roi dyddiad ac amser y gwrandawiad yn y blwch pwnc. Gellir dod o hyd i fanylion y clerc yn Atodiad 2 Canllaw Adran Mainc y Brenin."
"In person hearings before the Masters are open to the press and public, but the rooms are located in secure areas of the building. If you wish to attend an in person hearing, please arrive in the Bear Garden in good time before a hearing and make yourself know to the usher.","Mae gwrandawiadau wyneb yn wyneb gerbron y Meistri ar agor i'r wasg a'r cyhoedd, ond mae'r ystafelloedd wedi'u lleoli mewn ardaloedd diogel o'r adeilad. Os hoffech fynychu gwrandawiad wyneb yn wyneb, cyrhaeddwch y Bear Garden mewn pryd cyn y gwrandawiad a rhowch wybod i'r tywysydd."
"Judgments handed down by the Master remotely will be released by circulation to the parties representatives by email and released to The National Archives. The date and time for hand-down will be deemed to be not before time listed. A copy of the judgment in final form as handed down can be made available after that time, on request by email.","Bydd dyfarniadau a gyflwynir gan y Meistri o bell yn cael eu rhyddhau trwy gylchrediad i gynrychiolwyr y part'on trwy e-bost a'u rhyddhau i'r Archifau Cenedlaethol. Ystyrir na fydd y dyddiad a'r amser ar gyfer traddodi yn digwydd cyn yr amser a restrwyd. Gellir darparu copi o'r dyfarniad ar ffurf derfynol fel y'i traddodwyd ar 'l yr amser hwnnw, ar gais drwy e-bost."
"In-person hearings â bundles must be provided in hard-copy at least 3 days before the hearing. These may be brought to the Bear Garden for delivery.","Gwrandawiadau wyneb yn wyneb â rhaid darparu bwndeli mewn copi caled o leiaf 3 diwrnod cyn y gwrandawiad. Gellir dod 'r rhain i'r Bear Garden i'w dosbarthu."
"Remote hearings â these should be provided electronically to the Master and/or their clerk at least 3 days before the hearing. Please refer to the masters remote directions within the hearing notice for specific instructions.","Gwrandawiadau o bell â dylid darparu'r rhain yn electronig i'r Meistri a/neu eu clerc o leiaf 3 diwrnod cyn y gwrandawiad. Cyfeiriwch at gyfarwyddiadau o bell y meistri yn yr hysbysiad o wrandawiad am gyfarwyddiadau penodol."
"All hearings stated as being in a room or court room will have no video link unless otherwise stated. The masters chambers are limited in space for attendees. If there are more than 6 attendees expected, please contact the masters clerk as soon as possible to advise if a suitable alternative can be found.","Ni fydd gan bob gwrandawiad a nodir fel bod mewn ystafell neu ystafell lys unrhyw gyswllt fideo oni nodir fel arall. Mae siambrau'r meistri yn gyfyngedig o ran lle i fynychwyr. Os disgwylir mwy na 6 mynychwr, cysylltwch â chlerc y meistri cyn gynted â phosibl i roi gwybod a ellir dod o hyd i ddewis arall addas."
"Hearings in the Senior Court Costs Office will be held in person unless the notice of hearing has directed otherwise.","Bydd gwrandawiadau yn Uwch Swyddfa Costau'r Llys yn cael eu cynnal wyneb yn wyneb oni bai bod yr hysbysiad o wrandawiad wedi cyfarwyddo fel arall."
"Open justice is a fundamental principle of our justice system. You can attend a public hearing in person or you can apply for permission to observe remotely.","Mae cyfiawnder agored yn egwyddor sylfaenol ein system gyfiawnder. Gallwch fynychu gwrandawiad cyhoeddus wyneb yn wyneb neu gallwch wneud cais am ganiat'd i arsylwi o bell"
"Requests to observe remotely a hearing that is taking place at The Senior Courts Costs Office should be made in good time direct to: scco@justice.gov.uk. putting the hearing date and time in the subject box. You may be asked to provide further details and you must provide an email address to be sent an appropriate link for access.","Dylid gwneud ceisiadau i arsylwi gwrandawiad o bell sy'n cael ei gynnal yn Swyddfa Costau'r Uwchlysoedd mewn pryd yn uniongyrchol at: scco@justice.gov.uk. gan roi dyddiad ac amser y gwrandawiad yn y blwch pwnc. Efallai y gofynnir i chi roi rhagor o fanylion a rhaid i chi ddarparu cyfeiriad e-bost i gael dolen briodol ar gyfer mynediad."
"The judge hearing the case will decide if it is appropriate for you to observe remotely. They will have regard to the interests of justice, the technical capacity for remote observation and what is necessary to secure the proper administration of justice.","Bydd y barnwr sy'n gwrando ar yr achos yn penderfynu a yw'n briodol i chi arsylwi o bell. Byddant yn ystyried buddiannau cyfiawnder, y gallu technegol i arsylwi o bell a'r hyn sy'n angenrheidiol i sicrhau gweinyddiaeth briodol cyfiawnder."
"Sometimes it is necessary for hearings to be held in private and you will not be able to observe remotely or in person. Members of the press are able to attend some private hearings.","Weithiau mae'n angenrheidiol i wrandawiadau gael eu cynnal yn breifat ac ni fyddwch yn gallu arsylwi o bell nac wyneb yn wyneb. Mae aelodau'r wasg yn gallu mynychu rhai gwrandawiadau preifat."
"For more information, please visit https://www.gov.uk/guidance/observe-a-court-or-tribunal-hearing","Am ragor o wybodaeth, ewch i https://www.gov.uk/guidance/observe-a-court-or-tribunal-hearing"
"Current trial windows","Cyfnodau treial cyfredol"
"King's Bench Guide","Canllaw Mainc y Brenin"
"Hearings in First Tier and Upper Tribunals (excluding Employment Tribunals)","Gwrandawiadau yn y Tribiwnlys Haen Gyntaf a'r Tribiwnlysoedd Uwch (gan eithrio Tribiwnlysoedd Cyflogaeth)"
"judge(s)","Barnwr/Barnwyr"
"Member(s)","Aelod(au)"
"Mode of hearing","Math o wrandawiad"
"If you join a hearing you must not make any personal or private recording or publish any part of this hearing, including court communications. It is a criminal offence to do so.","Os byddwch yn ymuno â gwrandawiad ni chewch wneud unrhyw recordiad personol neu breifat na chyhoeddi unrhyw ran o'r gwrandawiad hwn, gan gynnwys cyfathrebiadau'r llys. Mae gwneud hynny yn drosedd."
"Case title","deitl yr achos"
"Current trial windows","Cyfnodau treial cyfredol"
"King's Bench Guide","Canllaw Mainc y Brenin"
"Upper Tribunal (Immigration and Asylum) Chamber Statutory Daily Hearing List","Uwch Dribiwnlys (Siambr Mewnfudo a Lloches) - Rhestr o Wrandawiadau Dyddiol - Statudol"
"Upper Tribunal (Immigration and Asylum) Chamber Statutory Appeal Daily Hearing List","Uwch Dribiwnlys (Siambr Mewnfudo a Lloches) - Rhestr o Wrandawiadau Dyddiol - Apeliadau Statudol"
"navigate most of the website using just a keyboard or speech recognition software","mynd drwy'r rhan fwyaf o'r wefan gan ddefnyddio bysellfwrdd yn unig neu feddalwedd adnabod llais"
"Bournemouth Combined Court","Llys Cyfun Bournemouth"
"Mental health hearings are held in private and unless a request has been made by the patient for a public hearing a hearing list will not be published.","Cynhelir gwrandawiadau iechyd meddwl yn breifat ac oni bai bod y claf wedi gwneud cais am wrandawiad cyhoeddus ni chaiff rhestr gwrandawiadau ei chyhoeddi."
"You can use this service to get information about:
	Hearings in most Civil and Family Courts in the Southeast region
	Hearings in First Tier and Upper Tribunals (excluding SSCS, Asylum Support and Employment Tribunals)
	Single Justice Procedure cases, including TV licensing and minor traffic offences such as speeding
More courts and tribunals will become available over time.","Gallwch ddefnyddio'r gwasanaeth hwn i gael gwybodaeth am:
	Gwrandawiadau ym mwyafrif y Llysoedd Sifil a Theulu yn Ne-ddwyrain Lloegr
	Gwrandawiadau yn y Tribiwnlys Haen Gyntaf a'r Tribiwnlysoedd Uwch (gan eithrio SSCS, Cymorth Lloches a'r Tribiwnlysoedd Cyflogaeth)
	Achosion Gweithdrefn Un Ynad, yn cynnwys troseddau Trwyddedu Teledu a m'n droseddau traffig fel goryrru
Bydd mwy o lysoedd a thribiwnlysoedd ar gael gydag amser."
"Cambridge County Court and Family Court","Llys Sirol a Llys Teulu Caergrawnt"
"Cambridge Crown Court","Llys y Goron Caergrawnt"
"Peterborough Magistrates Court","Llys Ynadon Peterborough"
"Cambridge Magistrates Court","Llys Ynadon Caergrawnt"
"Luton Justice Centre","Canolfan Gyfiawnder Luton"
"Luton and South Bedfordshire Magistrates' Court","Llys Ynadon Luton a De Swydd Bedford"
"Bedford County Court and Family Court","Llys Sirol a Llys Teulu Bedford"
"Stevenage Magistrates Court","Llys Ynadon Stevenage"
"Watford County Court and Family Court","Llys Sirol a Llys Teulu Watford"
"Hertford County Court and Family Court","Llys Sirol a Llys Teulu Hertford"
"Watford Tribunal Hearing Centre","Canolfan Wrandawiadau Tribiwnlys Watford"
"Huntingdon Law Courts","Llysoedd Barn Huntingdon"
"Hatfield Magistrates' Court","Llys Ynadon Hatfield"
"St Albans Crown Court","Llys y Goron St Albans"
"St Albans Magistrates' Court","Llys Ynadon St Albans"
"Luton Crown Court","Llys y Goron Luton"
"Lewes Combined Court Centre","Canolfan Llysoedd Cyfun Lewes"
"Manual upload","Lanlwytho â llaw"
"Notice for future judgements (this translation is for notice of other judgements this week)","Hysbysiad o ddyfarniadau eraill yr wythnos hon"
"This website was last audited by the HMCTS accessibility testing team in the Testing Centre of Excellence on 18 November 2024 across a range of assistive technologies and automated tools.","Cafodd y wefan hon ei harchwilio ddiwethaf gan d'm profi hygyrchedd GLlTEF yn y Ganolfan Ragoriaeth mewn Profi ar 18 Tachwedd 2024 ar draws ystod o dechnolegau cynorthwyol ac offer awtomataidd."
"Upper Tribunal (Immigration and Asylum) Chamber - Judicial Review: Bristol and Cardiff Daily Hearing List","Siambr Uwch Dribiwnlys (Mewnfudo a Lloches) - Adolygiadau Barnwrol:  Rhestr o Wrandawiadau Dyddiol Siambr Bryste a Chaerdydd"
"Upper Tribunal (Immigration and Asylum) Chamber - Judicial Review","Siambr Uwch Dribiwnlys (Mewnfudo a Lloches) - Adolygiadau Barnwrol"
"Criminal Injury Compensation","Digolledu am Anafiadau Troseddol"
"Criminal Injury Compensation Daily Hearing List","Rhestr Gwrandawiadau Dyddiol y Digolledu am Anafiadau Troseddol"
"type","math"
"type of","math o"
"first-tier Tribunal (Special Educational Needs and Disability)","Tribiwnlys Haen Gyntaf (Anghenion Addysgol Arbennig ac Anabledd)"
"First-tier Tribunal (Special Educational Needs and Disability) Daily Hearing List","Rhestr o Wrandawiadau Dyddiol y Tribiwnlys Haen Gyntaf (Anghenion Addysgol Arbennig ac Anabledd)"
"SEND Daily Hearing list","Rhestr o Wrandawiadau Dyddiol SEND"
"Special Educational Needs and Disability (SEND) Tribunal hearings are held in private and unless a request from the parties for the hearing to be heard in public has been approved, you will not be able to observe.","Cynhelir gwrandawiadau Tribiwnlys Anghenion Addysgol Arbennig ac Anabledd (SEND) yn breifat ac oni bai bod cais gan y part'on i wrandawiad gael ei wrando yn gyhoeddus wedi'i gymeradwyo, ni fyddwch yn gallu arsylwi."
"Private hearings do not allow anyone to observe remotely or in person. This includes members of the press.","Nid yw gwrandawiadau preifat yn caniat'u i unrhyw un arsylwi o bell neu wyneb yn wyneb. Mae hyn yn cynnwys aelodau o'r wasg."
"Requests to observe a public hearing that is taking place should be made in good time direct to: send@justice.gov.uk. You may be asked to provide further details.","Dylid gwneud ceisiadau i arsylwi gwrandawiad cyhoeddus sy'n cael ei gynnal mewn pryd yn uniongyrchol at: send@justice.gov.uk. Efallai y gofynnir i chi ddarparu rhagor o fanylion."
"The judge hearing the case will decide if it is appropriate for you to observe remotely. They will have regard to the interests of justice, the technical capacity for remote observation and what is necessary to secure the proper administration of justice.","Bydd y barnwr sy'n gwrando'r achos yn penderfynu a yw'n briodol i chi arsylwi o bell. Byddant yn ystyried buddiannau cyfiawnder, y gallu technegol i arsylwi o bell a'r hyn sy'n angenrheidiol i sicrhau gweinyddiaeth briodol cyfiawnder."
"To attend a public hearing using a remote link you must apply for permission to observe.","Ar gyfer mynychu gwrandawiad cyhoeddus gan ddefnyddio cyswllt o bell rhaid i chi wneud cais am ganiat'd i arsylwi."
"..Hearing List","Rhestr o Wrandawiadau"
"Account has been rejected","Mae'r cyfrif wedi'i wrthod"
"account has been verified","mae'r cyfrif wedi ei wirio"
"Account log in","Mewngofnodi i gyfrif"
"Account verification","Dilysu cyfrif"
"Applicant's details","Manylion y ceisydd"
"Application has been approved","Mae'r cais wedi ei gymeradwyo"
"Are you sure you want to approve this application?","Ydych chi'n siŵr eich bod eisiau cymeradwyo'r cais hwn?"
"Are you sure you want to delete all the publications","Ydych chi'n siŵr eich bod eisiau dileu'r holl gyhoeddiadau?"
"Are you sure you want to delete all the subscriptions?","Ydych chi'n siŵr eich bod eisiau dileu'r holl danysgrifiadau?"
"Are you sure you want to delete this court?","Ydych chi'n siŵr eich bod eisiau dileu'r llys hwn?"
"Are you sure you want to delete user?","Ydych chi'n siŵr eich bod eisiau dileu defnyddiwr?"
"Are you sure you want to reject this application?","Ydych chi'n siŵr eich bod eisiau gwrthod y cais hwn?"
"Are you sure you want to remove this content?","Ydych chi'n siŵr eich bod eisiau dileu'r cynnwys hwn?"
"Are you sure you want to remove this subscription?","Ydych chi'n siŵr eich bod eisiau dileu'r tanysgrifiad hwn?"
"Audit Log Viewer","Syllwr Archwilio Logiau"
"Blob Explorer","Archwiliwr Blob"
"Blob Explorer Locations","Archwiliwr Lleoliadau Blob"
"Blob Explorer Publications","Cyhoeddiadau Archwiliwr Blob"
"Bulk create media accounts","Creu cyfrifon cyfryngau swmp"
"Check upload details","Gwirio manylion uwchlwytho"
"Confirm subscription re-submission","Cadarnhau ailgyflwyno tanysgrifiadau"
"Content Removal Successful","Wedi llwyddo i ddileu'r cynnwys"
"Cookie Policy","Polisi Cwcis"
"Create a Court and tribunal hearings account","Creu cyfrif gwrandawiadau llys a thribiwnlys"
"Create media accounts","Creu cyfrifon cyfryngau"
"Create media accounts confirmation","Cadarnhad o greu cyfrifon cyfryngau"
"Create System Admin Account","Creu Cyfrif Gweinyddwr System"
"Create third party user","Creu defnyddiwr trydydd parti"
"Create third party user failed","Wedi methu creu defnyddiwr trydydd parti"
"Create third party user summary","Creu crynodeb o ddefnyddiwr trydydd parti"
"Delete court","Dileu llys"
"Delete court publications","Dileu cyhoeddiadau'r llys"
"Delete court reference data","Dileu data cyfeirnod y llys"
"Delete court subscriptions","Dileu tanysgrifiadau llys"
"Delete Successful","Wedi llwyddo i ddileu"
"Delete User","Dileu Defnyddiwr"
"File Upload Successful","Wedi llwyddo i uwchlwytho ffeiliau"
"File Upload Summary","Crynodeb o uwchlwytho ffeiliau"
"Find the court to remove","Dod o hyd i'r llys i'w ddileu"
"find, update and delete a user","canfod, diweddaru a dileu defnyddiwr"
"List types updated","Mathau o restrau wedi'u diweddaru"
"Manage third party user","Rheoli defnyddiwr trydydd parti"
"Manual Upload successful","Wedi llwyddo i uwchlwytho â  llaw"
"Manually upload a csv file","Uwchlwytho ffeil csv â llaw"
"Media accounts created","Cr'wyd cyfrifon cyfryngau"
"no matching results","nid oes unrhyw ganlyniadau sy'n cyd-fynd"
"Page not found","Tudalen heb ei ganfod"
"Password changed successfully","Newidiwyd y cyfrinair yn llwyddiannus"
"password reset","ailosod y Cyfrinair"
"Please select version of the list type to continue","Dewiswch fersiwn o'r math o restr Dewiswch opsiwn"
"Rejected log in","Mewngofnodi wedi'i wrthod"
"select an option","dewiswch opsiwn"
"Session expired","Sesiwn wedi dod i ben"
"Session expiring","Sesiwn yn dod i ben"
"SSO Rejected Login","Gwrthodwyd mewngofnodi SSO"
"Subscription re-submitted","Tanysgrifiad wedi'i ailgyflwyno"
"Summary of publications","Crynodeb o'r cyhoeddiadau"
"System Admin","Gweinyddwr y System"
"Terms and conditions","Telerau ac amodau"
"Third Party Subscriptions Updated","Diweddarwyd Tanysgrifiadau Trydydd Parti"
"Third party user created","Cr'wyd defnyddiwr trydydd parti"
"Unable to upload reference data file","Methu uwchlwytho ffeil data cyfeirnod"
"Unauthorised access","Mynediad anawdurdodedig"
"Unsubscribe from Subscription","Dad-danysgrifio o'r Tanysgrifiad"
"Upload Reference Data","Uwchlwytho Data Cyfeirnod"
"User Deleted","Dileu Defnyddiwr"
"User management","Rheoli defnyddwyr"
"View audit log","Gweld y log archwilio"
"View Raw JSON Content","Gweld Cynnwys JSON Raw"
"What do you want to view from","Beth ydych chi eisiau ei weld o"
"Why are you rejecting this application?","Pam ydych chi'n gwrthod y cais hwn?"
"You have been signed out, due to inactivity","Rydych wedi cael eich allgofnodi oherwydd anweithgarwch"
"Reading magistrate court and family court","Llys Ynadon a Llys Teulu Reading"
"Possession Daily Cause List","Rhestr Achosion Meddiant Dyddiol"
